"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6"
"ADHD_Total_0x25",-0.15,0.197,-0.054,-0.092,-0.4,-0.053
"AWMA0x2DS_VerbalSTM_StS",0.528,0.047,0.022,-0.223,0.102,0.055
"AWMA0x2DS_VerbalWM_StS",0.143,0.182,-0.119,0.306,-0.077,0.02
"AWMA0x2DS_VisuoSpatialSTM_StS",-0.131,-0.093,0.022,0.822,0.054,0.1
"AWMA0x2DS_VisuoSpatialWM_StS",-0.107,-0.14,0.139,0.786,0.007,0.128
"CMAT_BasicCalc_Comp_Quotient",0.073,0.091,0.161,0.175,0.596,0.109
"CTOPP_EL_StS",0.294,0.124,0.193,0.099,0.042,0.183
"CTOPP_BW_StS",0.196,0.208,0.278,0.073,-0.338,0.083
"CTOPP_RapidNaming_Comp",-0.046,0.089,-0.186,0.119,0.047,0.769
"KeyMath_Numeration_ScS",0.129,0.057,0.148,0.412,0.373,-0.101
"KeyMath_ProblemSolving_ScS",0.199,0.165,0.086,0.345,0.208,-0.112
"TOMA0x2D2_Attitudes_StS",-0.141,0.122,0.074,-0.174,0.613,-0.107
"TOWRE_Total_StS",0.647,-0.002,0.077,-0.028,-0.053,0.459
"WASI_Vocab_T0x2DScore",-0.242,1.214,0.006,-0.127,0.089,0.096
"WASI_BD_T0x2DScore",0.04,0.034,0.673,0.18,0.052,-0.179
"WASI_Sim_T0x2DScore",0.185,0.585,-0.137,0.101,0.111,-0.128
"WASI_MR_T0x2DScore",-0.048,-0.093,0.872,-0.005,0.145,-0.046
"WJ0x2DIII_WordID_StS",0.798,0.066,0.179,-0.231,0.06,0.179
"WJ0x2DIII_WA_StS",1.197,-0.296,-0.165,0.024,0.022,-0.073
"WJ0x2DIII_PassComp_StS",0.754,0.029,-0.055,0.147,-0.068,-0.225
"WJ0x2DIII_MathFluency_StS",0.055,0.004,-0.118,0.235,0.446,0.379
"WJ0x2DIII_SpatialRelations_StS",-0.127,0.008,0.751,0.073,0.041,-0.065
